"filename", "language", "PostCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\julia\Desktop\Coding-Environment\CSS\Classes.css", "PostCSS", 3, 0, 0, 0, 1, 4
"c:\Users\julia\Desktop\Coding-Environment\CSS\CloseButton.css", "PostCSS", 19, 0, 0, 0, 2, 21
"c:\Users\julia\Desktop\Coding-Environment\CSS\codeMirror.css", "PostCSS", 399, 0, 0, 0, 91, 490
"c:\Users\julia\Desktop\Coding-Environment\CSS\highlighter.css", "PostCSS", 54, 0, 0, 2, 4, 60
"c:\Users\julia\Desktop\Coding-Environment\CSS\lookInside.css", "PostCSS", 28, 0, 0, 0, 0, 28
"c:\Users\julia\Desktop\Coding-Environment\CSS\style.css", "PostCSS", 361, 0, 0, 39, 47, 447
"c:\Users\julia\Desktop\Coding-Environment\JS\Jal.js", "JavaScript", 0, 0, 571, 53, 74, 698
"c:\Users\julia\Desktop\Coding-Environment\JS\listener.js", "JavaScript", 0, 0, 39, 0, 5, 44
"c:\Users\julia\Desktop\Coding-Environment\index.html", "HTML", 0, 434, 0, 0, 44, 478
"Total", "-", 864, 434, 610, 94, 268, 2270
