"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\Classes.css", "PostCSS", 0, 3, 0, 0, 0, 3
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\CloseButton.css", "PostCSS", 0, 19, 0, 0, 2, 21
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\codeMirror.css", "PostCSS", 0, 274, 0, 0, 96, 370
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\highlighter.css", "PostCSS", 0, 54, 0, 2, 4, 60
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\lookInside.css", "PostCSS", 0, 28, 0, 0, 0, 28
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\style.css", "PostCSS", 0, 361, 0, 39, 47, 447
"c:\Users\julia\Desktop\Coding\Coding-Environment\HTML\LeftSide.html", "HTML", 7, 0, 0, 0, 0, 7
"c:\Users\julia\Desktop\Coding\Coding-Environment\HTML\RightSide.html", "HTML", 29, 0, 0, 0, 0, 29
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\CodeMirror.js", "JavaScript", 0, 0, 46, 7, 9, 62
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\Firebase.js", "JavaScript", 0, 0, 219, 1, 17, 237
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\Jal.js", "JavaScript", 0, 0, 521, 47, 68, 636
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\LoadHTML.js", "JavaScript", 0, 0, 20, 0, 0, 20
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\LoginRegister.js", "JavaScript", 0, 0, 53, 0, 8, 61
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\listener.js", "JavaScript", 0, 0, 36, 0, 5, 41
"c:\Users\julia\Desktop\Coding\Coding-Environment\index.html", "HTML", 67, 0, 0, 0, 5, 72
"Total", "-", 103, 739, 895, 96, 261, 2094
